City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,kasongo-lunda,CD,-6.4667,16.8167,73.56,79,44,2.1,scattered clouds
286,aranda de duero,ES,41.6704,-3.6892,45.25,54,1,2.82,clear sky
287,beidao,CN,34.5686,105.8933,22.98,85,99,2.55,overcast clouds
288,khorixas,NA,-20.3667,14.9667,69.78,71,100,4.05,light rain
289,waipawa,NZ,-41.4122,175.5153,68.63,88,100,5.73,overcast clouds
290,alamosa,US,37.4695,-105.87,40.51,28,0,3.44,clear sky
291,venice,US,27.0998,-82.4543,72.05,63,0,17.27,clear sky
292,bafata,GW,12.1667,-14.75,82.44,12,7,1.95,clear sky
293,pacific grove,US,36.6177,-121.9166,80.71,30,0,5.75,clear sky
294,ostrovnoy,RU,68.0531,39.5131,23.25,87,77,19.01,broken clouds
295,ondjiva,AO,-17.0667,15.7333,68.58,85,91,6.62,moderate rain
296,lima,PE,-12.0432,-77.0282,74.39,86,78,3.0,broken clouds
297,lososina,RU,48.9975,140.3106,2.79,92,19,4.68,few clouds
298,aklavik,CA,68.2191,-135.0107,-20.06,94,100,11.74,overcast clouds
299,kholodnyy,RU,62.7167,147.95,-33.77,98,98,1.63,overcast clouds
300,westport,US,41.1415,-73.3579,47.05,63,0,6.91,clear sky
301,bereda,ES,43.2686,-7.5406,51.91,97,0,1.59,clear sky
302,burla,IN,21.5,83.8667,64.74,76,22,3.22,few clouds
303,phangnga,TH,8.4509,98.5298,75.24,95,51,3.56,broken clouds
304,porto nacional,BR,-10.7081,-48.4172,75.2,90,100,3.53,overcast clouds
305,nago,JP,26.5881,127.9761,66.27,87,88,11.7,light rain
306,bhadrapur,NP,26.544,88.0944,59.49,69,21,5.5,few clouds
307,gdansk,PL,54.3521,18.6464,46.11,86,75,17.27,broken clouds
308,powell,US,40.1578,-83.0752,48.18,61,0,11.5,clear sky
309,aykhal,RU,66.0,111.5,-8.95,80,100,2.93,overcast clouds
310,vila franca do campo,PT,37.7167,-25.4333,60.19,78,3,8.46,clear sky
311,new norfolk,AU,-42.7826,147.0587,62.74,65,76,1.99,broken clouds
312,korla,CN,41.7597,86.1469,24.96,54,93,2.75,overcast clouds
313,sagua la grande,CU,22.8067,-80.0756,88.79,82,87,8.52,overcast clouds
314,rogers,US,36.3668,-95.5836,67.93,21,0,13.8,clear sky
315,remedios,CU,22.4947,-79.5458,88.72,74,98,5.46,overcast clouds
316,kununurra,AU,-15.7667,128.7333,76.98,94,39,0.0,scattered clouds
317,methoni,GR,36.8197,21.7049,48.22,57,0,4.36,clear sky
318,hirara,JP,24.8,125.2833,68.45,75,70,5.53,broken clouds
319,puksoozero,RU,62.5903,40.6066,22.01,97,100,5.03,light snow
320,marsh harbour,BS,26.5412,-77.0636,75.29,71,4,14.23,clear sky
321,aguimes,ES,27.9054,-15.4461,72.66,56,0,2.3,clear sky
322,sitka,US,57.0531,-135.33,46.29,87,100,12.66,moderate rain
323,ola,RU,59.5833,151.2833,-6.65,85,100,5.95,overcast clouds
324,torbay,CA,47.6666,-52.7314,37.58,90,94,5.99,overcast clouds
325,mana,GF,5.6592,-53.7767,79.59,73,80,8.61,broken clouds
326,kendari,ID,-3.945,122.4989,75.81,92,100,1.19,overcast clouds
327,bohodukhiv,UA,50.1647,35.5276,33.84,95,99,11.99,overcast clouds
328,santa catarina de tepehuanes,MX,25.35,-105.7333,68.13,12,38,13.44,scattered clouds
329,severo-kurilsk,RU,50.6789,156.125,30.6,92,100,21.07,snow
330,sirjan,IR,29.452,55.6814,45.9,35,0,7.54,clear sky
331,kodinsk,RU,58.6881,99.1844,-24.74,100,85,0.96,overcast clouds
332,sayat,TM,38.7839,63.8803,46.83,48,99,11.45,overcast clouds
333,ginir,ET,7.1333,40.7,60.33,38,48,5.01,scattered clouds
334,havelock,US,34.8791,-76.9013,61.05,62,2,1.01,clear sky
335,turbat,PK,26.0023,63.044,66.06,16,0,8.03,clear sky
336,cedar city,US,37.6775,-113.0619,52.39,29,0,17.27,clear sky
337,dahuk,IQ,36.8695,42.994,47.73,65,84,8.52,broken clouds
338,mora,CM,11.0461,14.1401,68.97,14,1,4.59,clear sky
339,alofi,NU,-19.0595,-169.9187,82.29,78,75,8.05,broken clouds
340,sesheke,ZM,-17.4759,24.2968,67.8,89,39,5.23,scattered clouds
341,moose factory,CA,51.2585,-80.6094,26.58,86,100,9.22,overcast clouds
342,shangqiu,CN,34.45,115.65,32.04,93,0,6.31,clear sky
343,tiksi,RU,71.6872,128.8694,-12.06,93,100,13.02,overcast clouds
344,farsund,NO,58.0948,6.8047,42.94,17,90,24.05,overcast clouds
345,broken hill,AU,-31.95,141.4333,66.16,56,10,20.76,clear sky
346,bousse,BF,12.6606,-1.8922,78.1,13,0,9.71,clear sky
347,san javier,ES,37.8063,-0.8374,56.12,74,20,3.44,few clouds
348,vestmannaeyjar,IS,63.4427,-20.2734,26.78,72,33,24.27,scattered clouds
349,nome,US,64.5011,-165.4064,-9.33,70,100,9.22,overcast clouds
350,aksu,CN,41.1231,80.2644,25.79,58,55,1.36,broken clouds
351,jinchang,CN,38.4953,102.1739,21.52,54,100,4.0,overcast clouds
352,kaitangata,NZ,-46.2817,169.8464,59.58,99,100,5.77,overcast clouds
353,cilegon,ID,-6.0174,106.0538,75.09,80,100,12.75,light rain
354,narsaq,GL,60.9167,-46.05,16.02,74,90,9.28,overcast clouds
355,kahului,US,20.8947,-156.47,80.62,59,20,13.8,few clouds
356,ruiz,MX,21.95,-105.15,87.4,17,0,9.51,clear sky
357,lagoa da prata,BR,-20.0225,-45.5436,73.15,87,90,5.64,light rain
